jetz_species_name,gape_width,trophic_trait,locomotory_trait,mass,handwing_index
Phaps_histrionica,4.2,-0.02271168454035148,1.6198681441731584,289,43.9
Ptilinopus_arcanus,3.5,-0.06292563381385131,-3.9239120056736025,85.9,25.3
Ptilinopus_aurantiifrons,4.7,0.00601256494071982,-2.31535403473361,152,30.4
Ptilinopus_bernsteinii,4.3,-0.01696683464413724,-1.5512889985371126,118.5,30.6
Ptilinopus_chalcurus,3.5,-0.06292563381385131,-1.9132145419986115,97.6,25.6
Ptilinopus_cinctus,4.9,0.01750226473314835,0.22674204434120038,243,30.6
Ptilinopus_coralensis,3.7,-0.05143593402142278,-2.4302510326578948,83.2,25.7
Ptilinopus_coronulatus,3.7,-0.05143593402142278,-2.9472875233171782,76.6,29.1
Ptilinopus_dohertyi,5.2,0.03473681442179112,0.5570709133735203,243,30.7
Ptilinopus_dupetithouarsii,4.5,-0.00547713485170871,-1.3846883515469002,99.5,32.3
Ptilinopus_eugeniae,4.2,-0.02271168454035148,-3.050694821449035,114,31
Ptilinopus_fischeri,5.3,0.04048166431800536,0.04003442271423692,177,27.5
Ptilinopus_granulifrons,5,0.023247114629362593,-2.717493527468608,136.5,28.1
Ptilinopus_greyii,3.8,-0.045691084125208545,-3.073674221033892,82.7,30.2
Ptilinopus_huttoni,4.8,0.011757414836934061,-0.3793396197094047,130,25.9
Ptilinopus_hyogastrus,5.2,0.03473681442179112,-2.4417407324503237,136.5,27.2
Ptilinopus_insolitus,4.6,2.677150445055298e-4,-2.31535403473361,136.5,29.8
Ptilinopus_insularis,5.2,0.03473681442179112,-1.4249023008203994,104,25.2
Ptilinopus_iozonus,4.2,-0.02271168454035148,-2.9013287241474646,114,34.1
Ptilinopus_jambu,4.6,2.677150445055298e-4,-1.7178896455273265,135,33
Ptilinopus_layardi,3.4,-0.06867048371006558,-3.073674221033892,46.6,19.9
Ptilinopus_leclancheri,4.9,0.01750226473314835,-1.5570338484333281,164,32.8
Ptilinopus_luteovirens,3.5,-0.06292563381385131,-2.9472875233171782,46.6,22.4
Ptilinopus_magnificus,4.7,0.00601256494071982,-0.2759323215775474,185.4,28.7
Ptilinopus_marchei,5.9,0.07495076369529095,0.5226018139962351,326,18.8
Ptilinopus_melanospilus,3.9,-0.03994623422899428,-2.8840941744588218,92,26.5
Ptilinopus_merrilli,5.6,0.057716214006648135,-0.22997352240783267,263,22.7
Ptilinopus_monacha,3.4,-0.06867048371006558,-4.165195701314602,53.9,29.6
Ptilinopus_naina,2.8,-0.10313958308735115,-4.647763092596599,49,26.3
Ptilinopus_occipitalis,4.3,-0.01696683464413724,-0.6378578650390464,238,26.7
Ptilinopus_ornatus,4.3,-0.01696683464413724,-1.111807981476723,163,32.7
Ptilinopus_pelewensis,4.3,-0.01696683464413724,-2.3268437345260384,93,29.4
Ptilinopus_perlatus,5.7,0.06346106390286242,-0.6608372646239021,210,30.1
Ptilinopus_perousii,3,-0.09164988329492262,-2.2808849353563247,93.5,28.2
Ptilinopus_porphyraceus,4.075,-0.029892746910619307,-2.2679590230898428,105.25,29.200000000000003
Ptilinopus_porphyreus,5,0.023247114629362593,-1.3387295523771856,168,31.3
