species_name,birdlife_id,birdlife_common_name,ebird_id,ebird_common_name,ebird_species_fullname,ebird_species_name,jetz_species_name
Columba unicincta,22690127,Afep Pigeon,1915,Afep Pigeon,Columba unicincta,Columba unicincta,Columba_unicincta
Columba arquatrix,22690145,African Olive-pigeon,1917,Rameron Pigeon,Columba arquatrix,Columba arquatrix,Columba_arquatrix
Columba sjostedti,22690131,Cameroon Olive-pigeon,1918,Cameroon Pigeon,Columba sjostedti,Columba sjostedti,Columba_sjostedti
Columba thomensis,22690138,Sao Tome Olive-pigeon,1919,Maroon Pigeon,Columba thomensis,Columba thomensis,Columba_thomensis
Columba pollenii,22690152,Comoro Olive-pigeon,1926,Comoro Pigeon,Columba pollenii,Columba pollenii,Columba_pollenii
Columba hodgsonii,22690159,Speckled Woodpigeon,1927,Speckled Wood-Pigeon,Columba hodgsonii,Columba hodgsonii,Columba_hodgsonii
Columba albinucha,22690164,White-naped Pigeon,1928,White-naped Pigeon,Columba albinucha,Columba albinucha,Columba_albinucha
Columba pulchricollis,22690168,Ashy Woodpigeon,1929,Ashy Wood-Pigeon,Columba pulchricollis,Columba pulchricollis,Columba_pulchricollis
Columba elphinstonii,22690173,Nilgiri Woodpigeon,1930,Nilgiri Wood-Pigeon,Columba elphinstonii,Columba elphinstonii,Columba_elphinstonii
Columba torringtoniae,22690178,Sri Lanka Woodpigeon,1931,Sri Lanka Wood-Pigeon,Columba torringtoniae,Columba torringtoniae,Columba_torringtoniae
Columba punicea,22690191,Pale-capped Pigeon,1932,Pale-capped Pigeon,Columba punicea,Columba punicea,Columba_punicea
Columba argentina,22690195,Silvery Pigeon,1933,Silvery Wood-Pigeon,Columba argentina,Columba argentina,Columba_argentina
Columba palumboides,22690201,Andaman Woodpigeon,1934,Andaman Wood-Pigeon,Columba palumboides,Columba palumboides,Columba_palumboides
Columba janthina,22690206,Japanese Woodpigeon,1935,Black Wood-Pigeon,Columba janthina,Columba janthina,Columba_janthina
Columba vitiensis,22690211,Metallic Pigeon,1940,Metallic Pigeon,Columba vitiensis,Columba vitiensis,Columba_vitiensis
Columba vitiensis,22690211,Metallic Pigeon,1941,Metallic Pigeon (Metallic),Columba vitiensis [vitiensis Group],Columba vitiensis,Columba_vitiensis
Columba vitiensis,22690211,Metallic Pigeon,1949,Metallic Pigeon (Samoan),Columba vitiensis castaneiceps,Columba vitiensis,Columba_vitiensis
Columba leucomela,22690215,White-headed Pigeon,1950,White-headed Pigeon,Columba leucomela,Columba leucomela,Columba_leucomela
Columba pallidiceps,22690226,Yellow-legged Pigeon,1951,Yellow-legged Pigeon,Columba pallidiceps,Columba pallidiceps,Columba_pallidiceps
Columba delegorguei,22690359,Eastern Bronze-naped Pigeon,1920,Delegorgue's Pigeon,Columba delegorguei,Columba delegorguei,Columba_delegorguei
Columba delegorguei,22690359,Eastern Bronze-naped Pigeon,1921,Delegorgue's Pigeon (Northern),Columba delegorguei sharpei,Columba delegorguei,Columba_delegorguei
Columba delegorguei,22690359,Eastern Bronze-naped Pigeon,1922,Delegorgue's Pigeon (Southern),Columba delegorguei delegorguei,Columba delegorguei,Columba_delegorguei
Columba iriditorques,22690346,Western Bronze-naped Pigeon,1923,Bronze-naped Pigeon,Columba iriditorques,Columba iriditorques,Columba_iriditorques
Columba malherbii,22690351,Sao Tome Bronze-naped Pigeon,1924,Sao Tome Pigeon,Columba malherbii,Columba malherbii,Columba_malherbii
Aplopelia larvata,22690384,Lemon Dove,1953,Lemon Dove,Aplopelia larvata,Aplopelia larvata,Aplopelia_larvata
Aplopelia larvata,22690384,Lemon Dove,1954,Lemon Dove (Western),Aplopelia larvata inornata,Aplopelia larvata,Aplopelia_larvata
Aplopelia larvata,22690384,Lemon Dove,1955,Lemon Dove (Principe),Aplopelia larvata principalis,Aplopelia larvata,Aplopelia_larvata
Aplopelia larvata,22690384,Lemon Dove,1956,Lemon Dove (Sao Tome),Aplopelia larvata simplex,Aplopelia larvata,Aplopelia_larvata
Aplopelia larvata,22690384,Lemon Dove,1957,Lemon Dove (Lemon),Aplopelia larvata larvata/bronzina,Aplopelia larvata,Aplopelia_larvata
Streptopelia turtur,22690419,European Turtle-dove,2035,European Turtle-Dove,Streptopelia turtur,Streptopelia turtur,Streptopelia_turtur
Streptopelia lugens,22690432,Dusky Turtle-dove,2040,Dusky Turtle-Dove,Streptopelia lugens,Streptopelia lugens,Streptopelia_lugens
Streptopelia hypopyrrha,22690426,Adamawa Turtle-dove,2041,Adamawa Turtle-Dove,Streptopelia hypopyrrha,Streptopelia hypopyrrha,Streptopelia_hypopyrrha
Streptopelia orientalis,22690439,Oriental Turtle-dove,2042,Oriental Turtle-Dove,Streptopelia orientalis,Streptopelia orientalis,Streptopelia_orientalis
Streptopelia dusumieri,22727533,Philippine Collared-dove,2050,Philippine Collared-Dove,Streptopelia dusumieri,Streptopelia dusumieri,Streptopelia_bitorquata
Streptopelia bitorquata,22727521,Sunda Collared-dove,2049,Sunda Collared-Dove,Streptopelia bitorquata,Streptopelia bitorquata,Streptopelia_bitorquata
Streptopelia decaocto,22727811,Eurasian Collared-dove,2051,Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia decaocto,Streptopelia_decaocto
Streptopelia xanthocycla,22727819,Burmese Collared-dove,2054,Burmese Collared-Dove,Streptopelia xanthocycla,Streptopelia xanthocycla,Streptopelia_decaocto
Streptopelia roseogrisea,22690515,African Collared-dove,2056,African Collared-Dove,Streptopelia roseogrisea,Streptopelia roseogrisea,Streptopelia_roseogrisea
Streptopelia roseogrisea,22690515,African Collared-dove,2059,African Collared-Dove (Domestic type or Ringed Turtle-Dove),Streptopelia roseogrisea (Domestic type),Streptopelia roseogrisea,Streptopelia_roseogrisea
Streptopelia reichenowi,22690529,White-winged Collared-dove,2062,White-winged Collared-Dove,Streptopelia reichenowi,Streptopelia reichenowi,Streptopelia_reichenowi
Streptopelia decipiens,22690477,Mourning Collared-dove,2063,Mourning Collared-Dove,Streptopelia decipiens,Streptopelia decipiens,Streptopelia_decipiens
Streptopelia semitorquata,22690499,Red-eyed Dove,2070,Red-eyed Dove,Streptopelia semitorquata,Streptopelia semitorquata,Streptopelia_semitorquata
Streptopelia capicola,22690488,Ring-necked Dove,2071,Ring-necked Dove,Streptopelia capicola,Streptopelia capicola,Streptopelia_capicola
Streptopelia vinacea,22690484,Vinaceous Dove,2078,Vinaceous Dove,Streptopelia vinacea,Streptopelia vinacea,Streptopelia_vinacea
Streptopelia tranquebarica,22690493,Red Collared-dove,2079,Red Collared-Dove,Streptopelia tranquebarica,Streptopelia tranquebarica,Streptopelia_tranquebarica
Spilopelia chinensis,60482887,Eastern Spotted Dove,2084,Spotted Dove,Spilopelia chinensis,Spilopelia chinensis,Stigmatopelia_chinensis
Spilopelia chinensis,60482887,Eastern Spotted Dove,2085,Spotted Dove (Western),Spilopelia chinensis suratensis/ceylonensis,Spilopelia chinensis,Stigmatopelia_chinensis
Spilopelia chinensis,60482887,Eastern Spotted Dove,2088,Spotted Dove (Eastern),Spilopelia chinensis chinensis/tigrina,Spilopelia chinensis,Stigmatopelia_chinensis
Spilopelia senegalensis,22690445,Laughing Dove,2091,Laughing Dove,Spilopelia senegalensis,Spilopelia senegalensis,Stigmatopelia_senegalensis
Nesoenas picturatus,22690364,Madagascar Turtle-dove,2024,Malagasy Turtle-Dove,Nesoenas picturatus,Nesoenas picturatus,Nesoenas_picturata
Nesoenas mayeri,22690392,Pink Pigeon,2030,Pink Pigeon,Nesoenas mayeri,Nesoenas mayeri,Nesoenas_mayeri
Macropygia unchall,22690545,Barred Cuckoo-dove,2098,Barred Cuckoo-Dove,Macropygia unchall,Macropygia unchall,Macropygia_unchall
Macropygia rufipennis,22690549,Andaman Cuckoo-dove,2130,Andaman Cuckoo-Dove,Macropygia rufipennis,Macropygia rufipennis,Macropygia_rufipennis
Macropygia emiliana,232609896,Ruddy Cuckoo-dove,2139,Ruddy Cuckoo-Dove,Macropygia emiliana,Macropygia emiliana,Macropygia_emiliana
Macropygia cinnamomea,232610475,Enggano Cuckoo-dove,2142,Enggano Cuckoo-Dove,Macropygia cinnamomea,Macropygia cinnamomea,Macropygia_emiliana
Macropygia tenuirostris,219582631,Philippine Cuckoo-dove,2133,Philippine Cuckoo-Dove,Macropygia tenuirostris,Macropygia tenuirostris,Macropygia_tenuirostris
Macropygia macassariensis,154625453,Flores Sea Cuckoo-dove,2103,Flores Sea Cuckoo-Dove,Macropygia macassariensis,Macropygia macassariensis,Macropygia_magna
Macropygia magna,154625310,Timor Cuckoo-dove,2106,Timor Cuckoo-Dove,Macropygia magna,Macropygia magna,Macropygia_magna
Macropygia timorlaoensis,154625942,Tanimbar Cuckoo-dove,2107,Tanimbar Cuckoo-Dove,Macropygia timorlaoensis,Macropygia timorlaoensis,Macropygia_magna
Macropygia amboinensis,22690561,Slender-billed Cuckoo-dove,2108,Amboyna Cuckoo-Dove,Macropygia amboinensis,Macropygia amboinensis,Macropygia_amboinensis
Macropygia phasianella,22690571,Brown Cuckoo-dove,2102,Brown Cuckoo-Dove,Macropygia phasianella,Macropygia phasianella,Macropygia_amboinensis
Macropygia ruficeps,22690576,Little Cuckoo-dove,2151,Little Cuckoo-Dove,Macropygia ruficeps,Macropygia ruficeps,Macropygia_ruficeps
Macropygia nigrirostris,22690580,Black-billed Cuckoo-dove,2147,Black-billed Cuckoo-Dove,Macropygia nigrirostris,Macropygia nigrirostris,Macropygia_nigrirostris
Macropygia mackinlayi,22690584,Mackinlay's Cuckoo-dove,2148,Mackinlay's Cuckoo-Dove,Macropygia mackinlayi,Macropygia mackinlayi,Macropygia_mackinlayi
Turacoena manadensis,154619546,White-faced Cuckoo-dove,2167,White-faced Cuckoo-Dove,Turacoena manadensis,Turacoena manadensis,Turacoena_manadensis
Turacoena sulaensis,154619350,Sula Cuckoo-dove,2168,Sula Cuckoo-Dove,Turacoena sulaensis,Turacoena sulaensis,Turacoena_manadensis
Turacoena modesta,22690609,Black Cuckoo-dove,2169,Slaty Cuckoo-Dove,Turacoena modesta,Turacoena modesta,Turacoena_modesta
Reinwardtoena reinwardti,22690589,Great Cuckoo-dove,2161,Great Cuckoo-Dove,Reinwardtoena reinwardti,Reinwardtoena reinwardti,Reinwardtoena_reinwardtsi
