city_id,city_name,ebird_species_name,seasonal,presence,origin,relative_abundance_proxy
202,Oaxaca,Patagioenas fasciata,Resident,Extant,Native,1.292959215438909
202,Oaxaca,Streptopelia decaocto,Resident,Extant,Introduced,21.67831531491543
202,Oaxaca,Zenaida asiatica,Non-breeding Season,Extant,Native,57.77398819973251
202,Oaxaca,Zenaida macroura,Resident,Extant,Native,10.924267563220686
219,Xalapa,Claravis pretiosa,Resident,Extant,Native,0
219,Xalapa,Columba livia,Resident,Extant,Introduced,49.862195601198735
219,Xalapa,Columbina inca,Resident,Extant,Native,34.67948407454624
219,Xalapa,Columbina passerina,Resident,Extant,Native,3.3297150207638744
219,Xalapa,Columbina talpacoti,Resident,Extant,Native,4.114013688978678
219,Xalapa,Geotrygon montana,Resident,Extant,Native,0
219,Xalapa,Leptotila verreauxi,Resident,Extant,Native,12.351655847636474
219,Xalapa,Patagioenas fasciata,Resident,Extant,Native,0
219,Xalapa,Patagioenas flavirostris,Resident,Extant,Native,19.049545478526877
219,Xalapa,Streptopelia decaocto,Resident,Extant,Introduced,48.99432432033036
219,Xalapa,Zenaida asiatica,Resident,Extant,Native,12.461429883423838
219,Xalapa,Zenaida macroura,Non-breeding Season,Extant,Native,0
219,Xalapa,Zentrygon albifacies,Resident,Extant,Native,0
225,Veracruz,Claravis pretiosa,Resident,Extant,Native,0
225,Veracruz,Columba livia,Resident,Extant,Introduced,64.74916352957513
225,Veracruz,Columbina inca,Resident,Extant,Native,61.40501057883413
225,Veracruz,Columbina minuta,Resident,Extant,Native,0
225,Veracruz,Columbina passerina,Resident,Extant,Native,2.5820204901622703
225,Veracruz,Columbina talpacoti,Resident,Extant,Native,12.57845747224494
225,Veracruz,Leptotila verreauxi,Resident,Extant,Native,4.688676070660054
225,Veracruz,Patagioenas flavirostris,Resident,Extant,Native,38.13670284942261
225,Veracruz,Streptopelia decaocto,Resident,Extant,Introduced,77.47096272698738
225,Veracruz,Zenaida asiatica,Non-breeding Season,Extant,Native,15.911494839182486
225,Veracruz,Zenaida macroura,Non-breeding Season,Extant,Native,3.309911434286436
234,Nuevo Laredo,Columba livia,Resident,Extant,Introduced,53.402397561999976
234,Nuevo Laredo,Columbina inca,Resident,Extant,Native,23.580967445094977
234,Nuevo Laredo,Columbina passerina,Resident,Extant,Native,5.895740906771602
234,Nuevo Laredo,Leptotila verreauxi,Resident,Extant,Native,8.087960703381835
234,Nuevo Laredo,Streptopelia decaocto,Resident,Extant,Introduced,44.75843599948659
234,Nuevo Laredo,Zenaida asiatica,Breeding Season,Extant,Native,49.56576700787046
234,Nuevo Laredo,Zenaida macroura,Resident,Extant,Native,32.493691321641556
249,Tuxtla Gutiérrez,Columba livia,Resident,Extant,Introduced,59.619010102717624
249,Tuxtla Gutiérrez,Columbina inca,Resident,Extant,Native,77.07919028939529
249,Tuxtla Gutiérrez,Columbina passerina,Resident,Extant,Native,1.5881968654162786
249,Tuxtla Gutiérrez,Geotrygon montana,Resident,Extant,Native,0
249,Tuxtla Gutiérrez,Leptotila verreauxi,Resident,Extant,Native,1.5881968654162786
249,Tuxtla Gutiérrez,Patagioenas fasciata,Resident,Extant,Native,0
249,Tuxtla Gutiérrez,Patagioenas flavirostris,Resident,Extant,Native,5.812076134735569
249,Tuxtla Gutiérrez,Streptopelia decaocto,Resident,Extant,Introduced,36.99526766218419
249,Tuxtla Gutiérrez,Zenaida asiatica,Resident,Extant,Native,71.33543504085986
249,Tuxtla Gutiérrez,Zenaida macroura,Non-breeding Season,Extant,Native,6.352787481895907
250,San Antonio,Columba livia,Resident,Extant,Introduced,25.947521164627027
250,San Antonio,Columbina inca,Resident,Extant,Native,20.60614718559549
250,San Antonio,Columbina passerina,Resident,Extant,Native,2.7811190482499444
250,San Antonio,Streptopelia decaocto,Resident,Extant,Introduced,8.081114501827006
250,San Antonio,Zenaida asiatica,Breeding Season,Extant,Native,74.03896604809215
250,San Antonio,Zenaida macroura,Resident,Extant,Native,41.04842812037662
255,Villahermosa,Claravis pretiosa,Resident,Extant,Native,0
255,Villahermosa,Columba livia,Resident,Extant,Introduced,55.15253368635607
255,Villahermosa,Columbina inca,Resident,Extant,Native,25.509470621020046
255,Villahermosa,Columbina minuta,Resident,Extant,Native,0
255,Villahermosa,Columbina talpacoti,Resident,Extant,Native,45.462099417316985
255,Villahermosa,Geotrygon montana,Resident,Extant,Native,0
255,Villahermosa,Leptotila plumbeiceps,Resident,Extant,Native,0
255,Villahermosa,Leptotila verreauxi,Resident,Extant,Native,2.3751753066249903
255,Villahermosa,Patagioenas cayennensis,Resident,Extant,Native,28.98508800298776
255,Villahermosa,Patagioenas flavirostris,Resident,Extant,Native,5.032761676535388
255,Villahermosa,Patagioenas speciosa,Resident,Extant,Native,0
255,Villahermosa,Streptopelia decaocto,Resident,Extant,Introduced,29.20063791512711
255,Villahermosa,Zenaida asiatica,Non-breeding Season,Extant,Native,68.71382619191047
255,Villahermosa,Zenaida macroura,Non-breeding Season,Extant,Native,0
273,Denver,Columba livia,Resident,Extant,Introduced,40.63330015123965
273,Denver,Streptopelia decaocto,Resident,Extant,Introduced,60.58136797696226
273,Denver,Zenaida macroura,Resident,Extant,Native,55.19866864766458
274,Austin,Columba livia,Resident,Extant,Introduced,41.6668890455116
274,Austin,Columbina inca,Resident,Extant,Native,14.49387015418391
274,Austin,Columbina passerina,Resident,Extant,Native,2.3493181344965333
274,Austin,Streptopelia decaocto,Resident,Extant,Introduced,18.024507138610016
274,Austin,Zenaida asiatica,Breeding Season,Extant,Native,85.57192024144167
274,Austin,Zenaida macroura,Resident,Extant,Native,59.20020632544075
289,Guatemala City,Columba livia,Resident,Extant,Introduced,36.498545556087706
289,Guatemala City,Columbina inca,Resident,Extant,Native,31.30303501550151
289,Guatemala City,Columbina passerina,Resident,Extant,Native,18.41945559281017
289,Guatemala City,Columbina talpacoti,Resident,Extant,Native,9.4803793778578
289,Guatemala City,Geotrygon montana,Resident,Extant,Native,0
289,Guatemala City,Leptotila verreauxi,Resident,Extant,Native,15.81036193888298
289,Guatemala City,Paraclaravis mondetoura,Resident,Extant,Native,0
289,Guatemala City,Patagioenas fasciata,Resident,Extant,Native,0.4443026555240392
289,Guatemala City,Zenaida asiatica,Resident,Extant,Native,71.79361679499127
289,Guatemala City,Zenaida macroura,Non-breeding Season,Extant,Native,2.827593557181403
289,Guatemala City,Zentrygon albifacies,Resident,Extant,Native,0
316,Houston,Columba livia,Resident,Extant,Introduced,27.721455182349946
316,Houston,Columbina inca,Resident,Extant,Native,3.648645315437803
316,Houston,Columbina passerina,Resident,Extant,Native,0.12947273207627152
316,Houston,Streptopelia decaocto,Resident,Extant,Introduced,18.090623721079105
316,Houston,Zenaida macroura,Resident,Extant,Native,49.67916489775759
322,San Salvador,Claravis pretiosa,Resident,Extant,Native,0
322,San Salvador,Columba livia,Resident,Extant,Introduced,63.676243295719715
322,San Salvador,Columbina inca,Resident,Extant,Native,14.629125753219853
322,San Salvador,Columbina minuta,Resident,Extant,Native,0
322,San Salvador,Columbina passerina,Resident,Extant,Native,3.5714449701689848
322,San Salvador,Columbina talpacoti,Resident,Extant,Native,73.982368309979
322,San Salvador,Leptotila verreauxi,Resident,Extant,Native,8.580839644313278
322,San Salvador,Patagioenas flavirostris,Resident,Extant,Native,67.10192108962583
322,San Salvador,Zenaida asiatica,Resident,Extant,Native,88.8606143059854
322,San Salvador,Zenaida macroura,Non-breeding Season,Extant,Native,0.9004831158117894
324,Dallas,Columba livia,Resident,Extant,Introduced,24.464054421652893
324,Dallas,Columbina inca,Resident,Extant,Native,1.222077548526768
324,Dallas,Streptopelia decaocto,Resident,Extant,Introduced,11.03870325586554
324,Dallas,Zenaida macroura,Resident,Extant,Native,50.583187865717264
347,San Pedro Sula,Claravis pretiosa,Resident,Extant,Native,0
347,San Pedro Sula,Columba livia,Resident,Extant,Introduced,47.58829169429624
347,San Pedro Sula,Columbina talpacoti,Resident,Extant,Native,60.185971912746794
347,San Pedro Sula,Geotrygon montana,Resident,Extant,Native,0
347,San Pedro Sula,Leptotila cassinii,Resident,Extant,Native,0
347,San Pedro Sula,Leptotila plumbeiceps,Resident,Extant,Native,0
347,San Pedro Sula,Leptotila verreauxi,Resident,Extant,Native,1.0139199867392008
347,San Pedro Sula,Patagioenas cayennensis,Resident,Extant,Native,4.325047163863816
347,San Pedro Sula,Patagioenas flavirostris,Resident,Extant,Native,8.018745256470984
347,San Pedro Sula,Patagioenas nigrirostris,Resident,Extant,Native,0
