city_id,city_name,total_city_checklists,total_city_effort,total_city_area_m2,total_city_area_surveyed_m2,percentage_total_city_area_surveyed,jetz_species_name,percentage_checklists,percentage_effort,percentage_surveyed_area,seasonal,presence,origin
79,Phoenix,40339,1323476,NA,1534946956.86,66,Zenaida_asiatica,29.82,32.49,50.95150794916571,Breeding Season,Extant,Native
79,Phoenix,40339,1323476,NA,1534946956.86,66,Zenaida_macroura,61.69,66.77,76.57204996870787,Resident,Extant,Native
84,Tucson,34527,1035100,424428365,381452015.05,89,Columba_livia,27.95,29.18,64.05410876594084,Resident,Extant,Introduced
84,Tucson,34527,1035100,424428365,381452015.05,89,Columbina_inca,0.13,0.23,3.4567900652645926,Resident,Extant,Native
84,Tucson,34527,1035100,424428365,381452015.05,89,Columbina_passerina,0.01,0.02,0.8232116350436356,Resident,Extant,Native
84,Tucson,34527,1035100,424428365,381452015.05,89,Columbina_talpacoti,0.09,0.1,1.259564702881493,NA,NA,NA
84,Tucson,34527,1035100,424428365,381452015.05,89,Patagioenas_fasciata,0.01,0.02,0.40421744784803176,Resident,Extant,Native
84,Tucson,34527,1035100,424428365,381452015.05,89,Streptopelia_decaocto,14.82,21.48,55.394549333368374,Resident,Extant,Introduced
84,Tucson,34527,1035100,424428365,381452015.05,89,Streptopelia_roseogrisea,0.01,0.06,0.3362669823180424,NA,NA,NA
84,Tucson,34527,1035100,424428365,381452015.05,89,Zenaida_asiatica,37.15,42.51,83.1611988727912,NA,NA,NA
84,Tucson,34527,1035100,424428365,381452015.05,89,Zenaida_macroura,71.63,79.46,91.63421282076145,Resident,Extant,Native
88,Guadalajara,882,25863,598868424,120093385.62,20,Columba_livia,41.27,42.41,56.89706790031622,Resident,Extant,Introduced
88,Guadalajara,882,25863,598868424,120093385.62,20,Columbina_inca,69.27,72.42,77.9925221496974,Resident,Extant,Native
88,Guadalajara,882,25863,598868424,120093385.62,20,Columbina_passerina,0.23,0.5,1.3073814864109583,Resident,Extant,Native
88,Guadalajara,882,25863,598868424,120093385.62,20,Leptotila_verreauxi,0.34,0.33,1.6899733898933442,Resident,Extant,Native
88,Guadalajara,882,25863,598868424,120093385.62,20,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
88,Guadalajara,882,25863,598868424,120093385.62,20,Streptopelia_decaocto,38.66,39.83,51.018756589868545,Resident,Extant,Introduced
88,Guadalajara,882,25863,598868424,120093385.62,20,Streptopelia_roseogrisea,0.11,0.05,0.6536907390420524,NA,NA,NA
88,Guadalajara,882,25863,598868424,120093385.62,20,Zenaida_asiatica,34.47,33.06,54.23399598050236,Resident,Extant,Native
88,Guadalajara,882,25863,598868424,120093385.62,20,Zenaida_macroura,3.29,4.71,11.236202643747234,Resident,Extant,Native
93,Durango,89,7640,91458584,16246002.41,17,Columba_livia,70.79,86.57,60.92715026256112,Resident,Extant,Introduced
93,Durango,89,7640,91458584,16246002.41,17,Columbina_inca,65.17,77.89,56.54183785142009,Resident,Extant,Native
93,Durango,89,7640,91458584,16246002.41,17,Leptotila_verreauxi,0,0,0,Resident,Extant,Native
93,Durango,89,7640,91458584,16246002.41,17,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
93,Durango,89,7640,91458584,16246002.41,17,Streptopelia_decaocto,59.55,79.37,41.57590581078831,Resident,Extant,Introduced
93,Durango,89,7640,91458584,16246002.41,17,Zenaida_asiatica,64.04,80.59,51.93391781603213,Resident,Extant,Native
93,Durango,89,7640,91458584,16246002.41,17,Zenaida_macroura,68.54,87.43,51.66615188259103,Resident,Extant,Native
101,Portland,80158,2530291,965792741,884204332.39,91,Columba_livia,4.28,4.37,30.281527022862637,Resident,Extant,Introduced
101,Portland,80158,2530291,965792741,884204332.39,91,Patagioenas_fasciata,1.94,3.07,13.919163624468112,Breeding Season,Extant,Native
101,Portland,80158,2530291,965792741,884204332.39,91,Streptopelia_decaocto,4.05,7.55,25.774274153802757,Resident,Extant,Introduced
101,Portland,80158,2530291,965792741,884204332.39,91,Zenaida_macroura,8.76,14.42,44.32875274887455,Resident,Extant,Native
111,Chihuahua,106,4930,170216745,24902425.87,14,Columba_livia,34.91,31.22,56.44186113985207,Resident,Extant,Introduced
111,Chihuahua,106,4930,170216745,24902425.87,14,Columbina_inca,38.68,58.66,51.888438409394205,Resident,Extant,Native
111,Chihuahua,106,4930,170216745,24902425.87,14,Streptopelia_decaocto,27.36,21.16,46.00025439208345,Resident,Extant,Introduced
111,Chihuahua,106,4930,170216745,24902425.87,14,Zenaida_asiatica,53.77,68.5,65.27163295195867,Breeding Season,Extant,Native
111,Chihuahua,106,4930,170216745,24902425.87,14,Zenaida_macroura,18.87,22.92,33.46331740330164,Resident,Extant,Native
112,Aguascalientes,165,6720,134929440,35422783.45,26,Columba_livia,35.76,37.74,54.33579237828076,Resident,Extant,Introduced
112,Aguascalientes,165,6720,134929440,35422783.45,26,Columbina_inca,66.06,76.86,70.07027921742835,Resident,Extant,Native
112,Aguascalientes,165,6720,134929440,35422783.45,26,Columbina_passerina,1.21,2.31,2.216198907994058,Resident,Extant,Native
112,Aguascalientes,165,6720,134929440,35422783.45,26,Leptotila_verreauxi,0.61,0.12,2.216198907994058,NA,NA,NA
112,Aguascalientes,165,6720,134929440,35422783.45,26,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
112,Aguascalientes,165,6720,134929440,35422783.45,26,Streptopelia_decaocto,12.12,11.74,30.392602927989273,Resident,Extant,Introduced
112,Aguascalientes,165,6720,134929440,35422783.45,26,Zenaida_asiatica,73.94,81.29,85.21459148631641,Resident,Extant,Native
112,Aguascalientes,165,6720,134929440,35422783.45,26,Zenaida_macroura,5.45,7.69,12.614963971725942,Resident,Extant,Native
116,Morelia,579,48595,112241152,39528677.61,35,Columba_livia,10.54,6.49,44.920226082918546,Resident,Extant,Introduced
116,Morelia,579,48595,112241152,39528677.61,35,Columbina_inca,62,83.58,71.94663011647356,Resident,Extant,Native
116,Morelia,579,48595,112241152,39528677.61,35,Columbina_passerina,0.17,0.02,1.9859995007811748,NA,NA,NA
116,Morelia,579,48595,112241152,39528677.61,35,Leptotila_verreauxi,0,0,0,Resident,Extant,Native
116,Morelia,579,48595,112241152,39528677.61,35,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
116,Morelia,579,48595,112241152,39528677.61,35,Streptopelia_decaocto,19.34,20.13,56.169581307680886,Resident,Extant,Introduced
116,Morelia,579,48595,112241152,39528677.61,35,Zenaida_asiatica,0.17,0.05,1.9859995007811748,Resident,Extant,Native
116,Morelia,579,48595,112241152,39528677.61,35,Zenaida_macroura,0.17,0.06,1.0681258406003125,Resident,Extant,Native
119,León,102,2116,193353165,17628540.71,9,Columba_livia,28.43,26.09,34.55668713715101,Resident,Extant,Introduced
119,León,102,2116,193353165,17628540.71,9,Columbina_inca,63.73,50.28,59.11392650946205,Resident,Extant,Native
119,León,102,2116,193353165,17628540.71,9,Columbina_passerina,0.98,2.84,4.453229299658803,Resident,Extant,Native
119,León,102,2116,193353165,17628540.71,9,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
119,León,102,2116,193353165,17628540.71,9,Streptopelia_decaocto,40.2,21.46,19.20785449971599,Resident,Extant,Introduced
119,León,102,2116,193353165,17628540.71,9,Zenaida_asiatica,52.94,42.58,58.921374723364714,Resident,Extant,Native
119,León,102,2116,193353165,17628540.71,9,Zenaida_macroura,22.55,26.04,38.98607583610929,Resident,Extant,Native
122,Acapulco,119,4045,147150051,25481418.42,17,Columba_livia,32.77,43.71,55.433340825773385,Resident,Extant,Introduced
122,Acapulco,119,4045,147150051,25481418.42,17,Columbina_inca,13.45,14.81,29.995020818782187,Resident,Extant,Native
122,Acapulco,119,4045,147150051,25481418.42,17,Columbina_passerina,2.52,3.21,9.023093503285441,Resident,Extant,Native
122,Acapulco,119,4045,147150051,25481418.42,17,Columbina_talpacoti,27.73,26.03,34.370312106040124,Resident,Extant,Native
122,Acapulco,119,4045,147150051,25481418.42,17,Geotrygon_montana,0,0,0,Resident,Extant,Native
122,Acapulco,119,4045,147150051,25481418.42,17,Leptotila_verreauxi,0.84,0.59,3.08083061570793,Resident,Extant,Native
122,Acapulco,119,4045,147150051,25481418.42,17,Patagioenas_flavirostris,0.84,2.22,3.08083061570793,Resident,Extant,Native
122,Acapulco,119,4045,147150051,25481418.42,17,Streptopelia_decaocto,9.24,13.94,26.248612340788206,Resident,Extant,Introduced
122,Acapulco,119,4045,147150051,25481418.42,17,Zenaida_asiatica,9.24,12.83,15.443567681896727,Resident,Extant,Native
122,Acapulco,119,4045,147150051,25481418.42,17,Zenaida_macroura,1.68,4.65,6.161661270660144,Non-breeding Season,Extant,Native
126,Torreon,98,5109,214982519,19347615.99,8,Columba_livia,34.69,41.42,53.20104484873023,Resident,Extant,Introduced
126,Torreon,98,5109,214982519,19347615.99,8,Columbina_inca,28.57,27.01,39.790326229231724,Resident,Extant,Native
126,Torreon,98,5109,214982519,19347615.99,8,Leptotila_verreauxi,1.02,0.45,4.057550761839367,NA,NA,NA
126,Torreon,98,5109,214982519,19347615.99,8,Streptopelia_decaocto,42.86,50.3,49.68857550702297,Resident,Extant,Introduced
126,Torreon,98,5109,214982519,19347615.99,8,Zenaida_asiatica,54.08,56.8,69.05705817660278,Resident,Extant,Native
126,Torreon,98,5109,214982519,19347615.99,8,Zenaida_macroura,30.61,38.29,31.080224318634517,Resident,Extant,Native
139,Seattle,117934,3818597,1941699802,1543114276.3,79,Columba_livia,10.26,11.78,35.14147843607764,Resident,Extant,Introduced
139,Seattle,117934,3818597,1941699802,1543114276.3,79,Patagioenas_fasciata,4.1,6.47,20.671128009704617,Breeding Season,Extant,Native
139,Seattle,117934,3818597,1941699802,1543114276.3,79,Streptopelia_decaocto,1.01,1.33,11.344123968558737,Resident,Extant,Introduced
139,Seattle,117934,3818597,1941699802,1543114276.3,79,Streptopelia_roseogrisea,0.01,0.01,0.05141096496768896,NA,NA,NA
139,Seattle,117934,3818597,1941699802,1543114276.3,79,Zenaida_macroura,0.64,1.11,9.29855357919742,Resident,Extant,Native
140,Querétaro,407,16892,168039576,49695747.6,29,Columba_livia,17.69,19.96,37.716282026512864,Resident,Extant,Introduced
140,Querétaro,407,16892,168039576,49695747.6,29,Columbina_inca,46.93,53.98,71.06243953557106,Resident,Extant,Native
140,Querétaro,407,16892,168039576,49695747.6,29,Columbina_passerina,0.98,0.68,1.5796911766350004,Resident,Extant,Native
140,Querétaro,407,16892,168039576,49695747.6,29,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
140,Querétaro,407,16892,168039576,49695747.6,29,Streptopelia_decaocto,29.48,29.91,51.790183110154075,Resident,Extant,Introduced
140,Querétaro,407,16892,168039576,49695747.6,29,Streptopelia_roseogrisea,1.47,2.49,3.1712270085660204,NA,NA,NA
140,Querétaro,407,16892,168039576,49695747.6,29,Zenaida_asiatica,65.85,75.67,69.8421085026599,Resident,Extant,Native
140,Querétaro,407,16892,168039576,49695747.6,29,Zenaida_macroura,27.27,33.64,37.95032404341976,Resident,Extant,Native
143,Ciudad Juárez,750,24984,537484242,81596386.97,15,Columba_livia,31.2,27.02,57.89215914347733,Resident,Extant,Introduced
143,Ciudad Juárez,750,24984,537484242,81596386.97,15,Columbina_inca,6.67,10.21,18.769670825781663,Resident,Extant,Native
143,Ciudad Juárez,750,24984,537484242,81596386.97,15,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
143,Ciudad Juárez,750,24984,537484242,81596386.97,15,Streptopelia_decaocto,18.53,18.32,33.613338014689305,Resident,Extant,Introduced
143,Ciudad Juárez,750,24984,537484242,81596386.97,15,Zenaida_asiatica,62.8,69.9,65.58916439483619,Resident,Extant,Native
143,Ciudad Juárez,750,24984,537484242,81596386.97,15,Zenaida_macroura,18.27,17.76,48.00979893190974,Resident,Extant,Native
144,San Luis Potosí,199,4198,174622341,26725146.24,15,Columba_livia,16.08,15.65,48.54005524798206,Resident,Extant,Introduced
144,San Luis Potosí,199,4198,174622341,26725146.24,15,Columbina_inca,25.13,24.87,49.63470418787127,Resident,Extant,Native
144,San Luis Potosí,199,4198,174622341,26725146.24,15,Columbina_passerina,0,0,0,Resident,Extant,Native
144,San Luis Potosí,199,4198,174622341,26725146.24,15,Leptotila_verreauxi,1.01,0.38,5.874911500577817,NA,NA,NA
144,San Luis Potosí,199,4198,174622341,26725146.24,15,Streptopelia_decaocto,2.01,1.33,11.655813001081636,Resident,Extant,Introduced
144,San Luis Potosí,199,4198,174622341,26725146.24,15,Zenaida_asiatica,45.23,37.28,70.63425079315861,Resident,Extant,Native
144,San Luis Potosí,199,4198,174622341,26725146.24,15,Zenaida_macroura,1.51,0.95,8.812367232157753,Resident,Extant,Native
146,Toluca,130,10127,387233839,33324085.25,8,Columba_livia,16.92,9.46,40.728948831386155,Resident,Extant,Introduced
146,Toluca,130,10127,387233839,33324085.25,8,Columbina_inca,7.69,9.54,23.536173284756558,Resident,Extant,Native
146,Toluca,130,10127,387233839,33324085.25,8,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
146,Toluca,130,10127,387233839,33324085.25,8,Streptopelia_decaocto,3.08,4.1,9.423086474669248,Resident,Extant,Introduced
146,Toluca,130,10127,387233839,33324085.25,8,Zenaida_asiatica,0,0,0,Non-breeding Season,Extant,Native
146,Toluca,130,10127,387233839,33324085.25,8,Zenaida_macroura,20,31.16,13.246151685438987,Resident,Extant,Native
154,Cuernavaca,786,33143,218946013,73244553.76,33,Columba_livia,9.41,18.02,23.095623062199948,Resident,Extant,Introduced
